Frequency;Channel A;Channel B
(ms);(V);(V)

-32.48120428;2.76650300;0.52339240
-32.46072428;2.76650300;0.52339240
-32.44024428;2.76650300;0.52339240
-32.41976428;2.76650300;0.52339240
-32.39928428;2.76650300;0.52339240
-32.37880428;2.76650300;0.52339240
-32.35832428;2.76650300;0.52339240
-32.33784428;2.76650300;0.52339240
-32.31736428;2.76650300;0.52339240
-32.29688428;2.76650300;0.52339240
-32.27640428;2.76650300;0.52339240
-32.25592428;2.76650300;0.52339240
-32.23544428;2.76650300;0.52339240
-32.21496428;2.76650300;0.52339240
-32.19448428;2.76650300;0.52339240
-32.17400428;2.76650300;0.52339240
-32.15352428;2.76650300;0.52339240
-32.13304428;2.76650300;0.52339240
-32.11256428;2.85470100;0.52339240
-32.09208428;2.76650300;0.52339240
-32.07160428;2.85470100;0.52339240
-32.05112428;2.76650300;0.61220130
-32.03064428;2.85470100;0.52339240
-32.01016428;2.76650300;0.52339240
-31.98968428;2.76650300;0.61220130
-31.96920428;2.85470100;0.61220130
-31.94872428;2.85470100;0.52339240
-31.92824428;2.85470100;0.61220130
-31.90776428;2.85470100;0.61220130
-31.88728428;2.76650300;0.61220130
-31.86680428;2.85470100;0.61220130
-31.84632428;2.85470100;0.61220130
-31.82584428;2.76650300;0.61220130
-31.80536428;2.85470100;0.52339240
-31.78488428;2.85470100;0.61220130
-31.76440428;2.85470100;0.61220130
-31.74392428;2.85470100;0.61220130
-31.72344428;2.76650300;0.61220130
-31.70296428;2.85470100;0.52339240
-31.68248428;2.85470100;0.61220130
-31.66200428;2.85470100;0.61220130
-31.64152428;2.85470100;0.61220130
-31.62104428;2.85470100;0.52339240
-31.60056428;2.85470100;0.61220130
-31.58008428;2.85470100;0.61220130
-31.55960428;2.85470100;0.61220130
-31.53912428;2.85470100;0.61220130
-31.51864428;2.85470100;0.61220130
-31.49816428;2.85470100;0.61220130
-31.47768428;2.85470100;0.61220130
-31.45720428;2.94290000;0.61220130
-31.43672428;2.85470100;0.61220130
-31.41624428;2.94290000;0.61220130
-31.39576428;2.85470100;0.70101020
-31.37528428;2.85470100;0.61220130
-31.35480428;2.85470100;0.61220130
-31.33432428;2.85470100;0.61220130
-31.31384428;2.94290000;0.61220130
-31.29336428;2.94290000;0.61220130
-31.27288428;2.94290000;0.61220130
-31.25240428;2.94290000;0.61220130
-31.23192428;2.94290000;0.70101020
-31.21144428;2.94290000;0.70101020
-31.19096428;2.94290000;0.61220130
-31.17048428;2.94290000;0.70101020
-31.15000428;2.94290000;0.70101020
-31.12952428;2.94290000;0.70101020
-31.10904428;2.94290000;0.61220130
-31.08856428;2.94290000;0.61220130
-31.06808428;2.94290000;0.70101020
-31.04760429;2.94290000;0.70101020
-31.02712429;2.94290000;0.61220130
-31.00664429;2.94290000;0.61220130
-30.98616429;2.94290000;0.61220130
-30.96568429;2.94290000;0.70101020
-30.94520429;2.94290000;0.70101020
-30.92472429;2.94290000;0.70101020
-30.90424429;2.94290000;0.61220130
-30.88376429;2.94290000;0.61220130
-30.86328429;2.94290000;0.61220130
-30.84280429;2.94290000;0.70101020
-30.82232429;2.94290000;0.61220130
-30.80184429;2.94290000;0.70101020
-30.78136429;2.94290000;0.61220130
-30.76088429;2.94290000;0.61220130
-30.74040429;2.94290000;0.70101020
-30.71992429;2.94290000;0.61220130
-30.69944429;2.94290000;0.61220130
-30.67896429;2.94290000;0.61220130
-30.65848429;3.03109800;0.61220130
-30.63800429;3.03109800;0.61220130
-30.61752429;2.94290000;0.61220130
-30.59704429;2.94290000;0.61220130
-30.57656429;3.03109800;0.61220130
-30.55608429;3.03109800;0.70101020
-30.53560429;2.94290000;0.61220130
